name,Tx_300kpc,Tx_300kpc-,Tx_300kpc+,Lx52_300kpc,Lx52_300kpc-,Lx52_300kpc+,Lxbol_300kpc,Lxbol_300kpc-,Lxbol_300kpc+
XLSSC-534,3.02754,0.6549761119999999,1.0480382119999998,1.1305883570000001e+44,1.7472431683232452e+43,2.623156867866874e+43,2.8616565180000005e+44,5.320738490770693e+43,3.4606937394955664e+43
XLSSC-517,3.23668,0.7524053469999998,1.2752659590000004,5.588866063e+43,1.033349628712094e+43,1.2618278846575772e+43,1.4647480930000002e+44,2.887782885815095e+43,2.734446820365104e+43
XLSSC-523,5.02382,1.0178730429999998,1.804256422,2.1460349170000003e+43,1.6449955641919603e+42,1.9163067112983503e+42,7.029035189000001e+43,1.1225817656730812e+43,7.968486715830291e+42
XLSSC-503,2.73991,0.601875412,0.9371382009999998,1.5966205360000002e+43,3.4128553748566005e+42,3.09330440251139e+42,4.1690859270000005e+43,1.0660105020769741e+43,5.15211159602174e+42
XLSSC-545,1.74546,0.270618193,0.382123075,1.176394621e+43,3.0874230638112304e+42,3.0599057543183904e+42,2.472008929e+43,6.80205407108129e+42,7.600376968899651e+42
XLSSC-514,1.34042,0.0402690379999999,0.0816977570000001,6.297938352e+42,4.7068440384159e+41,4.543203425299901e+41,1.2308001870000002e+43,8.8269385907388e+41,1.05981925344665e+42
XLSSC-515,1.334,0.0342096149999999,0.0900790459999998,4.6475583390000005e+42,2.4476500415375e+41,2.8467662354004e+41,9.146956520000002e+42,5.9328230615071e+41,5.5574064573876005e+41
XLSSC-547,3.45915,0.7668266580000003,1.0366905519999996,2.9756955880000007e+43,2.5780245206356505e+42,3.2341390535309806e+42,8.121436014000001e+43,1.302994765230329e+43,1.4051878396055971e+43
XLSSC-535,2.21484,0.2002912400000003,0.252791126,1.0998710150000001e+43,1.2711147731780801e+42,9.227634480379101e+41,2.54308526e+43,1.99970928051013e+42,2.85991490706034e+42
XLSSC-536,1.74481,0.153754921,0.23475145,4.0156236870000004e+42,5.890351232400401e+41,9.4378401317873e+41,8.580755688e+42,1.6685636008806403e+42,2.1917237640519005e+42
XLSSC-522,2.40129,0.2052035249999999,0.2700895509999999,2.1605906210000003e+43,1.3877916110828001e+42,1.58813160549742e+42,5.058081831000001e+43,3.35100565977092e+42,3.38347887465078e+42
XLSSC-533,2.86528,0.2943249159999999,0.4077127740000001,2.328303154e+43,1.1968148255733802e+42,1.15388106866691e+42,5.936713593000001e+43,4.4985799355542706e+42,5.12451549073958e+42
