name,Tx_500,Tx_500-,Tx_500+,Lx52_500,Lx52_500-,Lx52_500+,Lxbol_500,Lxbol_500-,Lxbol_500+,Tx_500ce,Tx_500ce-,Tx_500ce+,Lx52_500ce,Lx52_500ce-,Lx52_500ce+,Lxbol_500ce,Lxbol_500ce-,Lxbol_500ce+,Tx_500wl,Tx_500wl-,Tx_500wl+,Lx52_500wl,Lx52_500wl-,Lx52_500wl+,Lxbol_500wl,Lxbol_500wl-,Lxbol_500wl+,Tx_500wlce,Tx_500wlce-,Tx_500wlce+,Lx52_500wlce,Lx52_500wlce-,Lx52_500wlce+,Lxbol_500wlce,Lxbol_500wlce-,Lxbol_500wlce+
Abell0521,6.2584,0.1025015910000002,0.1029912800000003,4.342631236000001e+44,2.05594862311312e+42,2.70246237858175e+42,1.583918178e+45,1.244944211997629e+43,1.580468625699871e+43,6.17217,0.1138044000000002,0.1115356469999993,3.866621467e+44,1.4834086881496002e+42,2.0652758447523903e+42,1.4013730640000001e+45,1.5078104611040892e+43,1.807790672751058e+43,6.26959,0.1029515899999999,0.1032136990000003,4.196020721000001e+44,2.65646177570029e+42,1.29632415366814e+42,1.5291266690000003e+45,1.6220599369805263e+43,1.0772710636834381e+43,6.20936,0.1112147430000005,0.1114714559999994,3.767318223e+44,2.35360475710703e+42,2.62304561195881e+42,1.366545249e+45,1.4360647377314442e+43,1.392630344154654e+43
Abell0586,6.11812,0.0785764750000002,0.0822302669999999,3.370288095e+44,2.76370291512059e+42,2.6978948815046302e+42,1.2139405890000002e+45,1.0548218734755081e+43,1.437078029513996e+43,6.11947,0.1166905339999999,0.1249981720000006,1.8863553330000003e+44,2.2272322678020102e+42,1.8525449776475e+42,6.790953738000001e+44,8.412577059331931e+42,8.659375934910551e+42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell0611,6.39898,0.0914756839999997,0.0987030290000001,4.084838169e+44,3.53839863742012e+42,5.1472183931153506e+42,1.514865874e+45,1.6679808195992612e+43,1.8080982398854763e+43,6.32045,0.1484350929999998,0.1516622089999995,2.3345364640000003e+44,3.34879566612131e+42,3.8209300003197005e+42,8.567990008000001e+44,1.745106682217722e+43,1.677249949371848e+43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell0697,9.66644,0.1810638249999989,0.1981133489999997,7.70662783e+44,1.6529321233840361e+43,1.1216089852586672e+43,3.46610092e+45,7.1436910882831545e+43,7.383339147406169e+43,9.58732,0.2550911459999998,0.2582865259999991,5.21498178e+44,1.149316441757119e+43,9.663621475292391e+42,2.3370109610000004e+45,5.294309818202986e+43,7.710189974024884e+43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZwCl0857.9+2107,3.98354,0.0716561580000001,0.0713984469999995,3.775558454000001e+44,4.22126839317057e+42,2.9785819017766806e+42,1.1140596690000001e+45,1.209883164251365e+43,1.9643071543853922e+43,4.02935,0.1506471349999998,0.154424241,1.5423789630000002e+44,2.3436334001581002e+42,3.22079019590971e+42,4.557865062000001e+44,8.592906631292642e+42,1.177349850630976e+43,4.01642,0.0689759300000001,0.0726294999999996,3.7132412e+44,3.3401275210216704e+42,2.82404685700628e+42,1.100678385e+45,1.0173184169360781e+43,1.3662883727731822e+43,4.05841,0.1361372220000003,0.1444512949999996,1.6286819120000002e+44,2.7111137011484302e+42,2.19497534194395e+42,4.83066497e+44,9.541854593306462e+42,8.39037584793001e+42
Abell0750,5.65462,0.094217553,0.0942406029999993,2.0044099620000002e+44,1.83082775577081e+42,1.8018467991616102e+42,6.904663496000001e+44,6.41458713315779e+42,8.92606378114842e+42,5.47196,0.1238171709999997,0.1345780159999998,1.296339671e+44,1.8635912513211202e+42,1.33843561358593e+42,4.3849198700000006e+44,5.3855235351642606e+42,6.31943550209369e+42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell0773,7.5426,0.1730436490000002,0.1761878750000001,4.030925820000001e+44,3.0946396935248104e+42,2.8912239803218e+42,1.6115494410000002e+45,1.576668016579296e+43,2.061923035855193e+43,7.32796,0.2208669610000004,0.2345697829999995,2.7105742460000004e+44,1.5811870147645702e+42,2.4059387058772804e+42,1.0712920290000001e+45,1.79493223912772e+43,1.8495551486577644e+43,7.95922,0.1953680069999999,0.1989307240000002,4.2251292250000006e+44,2.3931733514901102e+42,3.1539913670830404e+42,1.7323884610000003e+45,1.6858738437770123e+43,2.241410652431233e+43,8.2576,0.2872688209999996,0.3123350059999996,2.622260888e+44,2.3633605968316203e+42,2.6291249195536803e+42,1.0937817510000002e+45,1.3156223594962362e+43,2.013997361706727e+43
Abell0781,6.18727,0.1372451229999995,0.1386075099999999,2.7659948850000004e+44,1.9790584881042502e+42,2.4302755612480802e+42,1.0043635650000001e+45,1.205614416722511e+43,1.2455548386409872e+43,6.06234,0.1376372269999999,0.1515459770000005,2.465858639e+44,2.0299417726008902e+42,2.1451800391897103e+42,8.868062201000002e+44,9.80271196286574e+42,1.382621384458215e+43,6.19513,0.1369096189999998,0.1378045070000002,2.88201808e+44,3.2602232187928906e+42,1.42411493300161e+42,1.044668681e+45,1.345222541061299e+43,1.57048488239628e+43,6.09916,0.1412863280000005,0.1558447409999992,2.5544561460000005e+44,2.3523592026477903e+42,2.1992430598278604e+42,9.193393078000001e+44,1.009646848398714e+43,1.210091187455913e+43
Abell0901,3.05085,0.0412558629999999,0.044321622,1.392536243e+44,7.418169489951801e+41,8.295183827348102e+41,3.634716004e+44,3.3702721994334604e+42,3.161206285958581e+42,3.25842,0.0855949449999999,0.0892303949999999,6.022886887e+43,6.9398115537366e+41,8.411416189492001e+41,1.6140127030000001e+44,2.4186379089836902e+42,2.8064505994518e+42,3.01224,0.0441312779999996,0.0439375710000002,1.4495240050000002e+44,8.5909272013048e+41,7.869034237665801e+41,3.76355954e+44,2.2940410797193602e+42,3.12751030695404e+42,3.16635,0.108573319,0.1094892449999997,5.553563623e+43,8.481834260228502e+41,6.5517483145612e+41,1.4703443420000002e+44,3.06868569250706e+42,2.27237041617829e+42
Abell0907,5.6497,0.0807671870000001,0.0807776599999998,4.1425305610000005e+44,4.2376061488146306e+42,4.0215262435693106e+42,1.4497141060000002e+45,2.1475087919613134e+43,1.518566138445893e+43,6.6442,0.1818023499999999,0.1829263190000007,2.222157159e+44,4.094666687019901e+42,5.0442522422958206e+42,8.360847573e+44,1.846969262115265e+43,2.207679608663635e+43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
