name,Mg500,Mg500-,Mg500+,Mg2500,Mg2500-,Mg2500+
Abell2219,1.9861788667765459,0.0022866927904700005,0.002266162128929688,0.673993079392023,0.0004627071304022657,0.0004664294317910157
RXJ1720.1+2638,0.8150091865830051,0.00025426224905125005,0.00024953005969000004,0.29400110436673116,6.397592932691407e-05,6.387079843191407e-05
Abell2261,0.9966745311062761,0.0006271847329225001,0.0006208914342345313,0.382626850945374,0.00017754674533421877,0.0001760256225892969
RXCJ2102.1-2431,0.37653938728750574,0.00043110972867656255,0.00043296419649656255,0.14101427337810307,0.0001106037174932422,0.0001081406765954297
RXJ2129.6+0005,0.7120207674629098,0.0004416993740473438,0.0004224846514600001,0.25394274144365847,0.00012215503417660158,0.00012023171947164064
Abell2390,1.936623762481984,0.0014194282182325001,0.0013351781859953127,0.5451575199467389,0.00031715245400554693,0.0003219876744154688
Abell2537,0.6700815961354335,0.001678320998127969,0.0017075995001603129,0.21493258313111352,0.00044495530570937505,0.0004390792280356251
Abell2552,0.9848052771827305,0.0010531325146901564,0.001050492701621875,0.29823845102205276,0.0002774723086516016,0.0002850895144829297
Abell2631,0.7645798583981475,0.0021630858991634376,0.0022120607562187504,0.19817151842704026,0.0003424992374075782,0.00035419873881750003
Abell2645,0.5529490636116807,0.001287957440675547,0.0012853927036150002,0.18266266857790697,0.00024171110166375004,0.00024454081728812505
