name,z,ra,dec,chandra_id,xmm_obsid,r2500,r1000,r500,c_m2500,c_m2500_err,c_m1000,c_m1000_err,c_m500,c_m500_err,x_m2500,x_m2500_err,x_m1000,x_m1000_err,x_m500,x_m500_err,c_mg2500,c_mg2500_err,c_mg1000,c_mg1000_err,c_mg500,c_mg500_err,x_mg2500,x_mg2500_err,x_mg1000,x_mg1000_err,x_mg500,x_mg500_err,x_Tx500ce,x_Tx500ce-,x_Tx500ce+,x_Lxbol,x_Lxbol_err,r500wl
Abell1451,0.1989999999999999,180.822,-21.5372,nan,0652010101,500.0,920.0,1360.0,,,,,,,230000000000000.0,66000000000000.0,551000000000000.0,89000000000000.0,897000000000000.1,218000000000000.03,,,,,,,23500000000000.0,4400000000000.0,62700000000000.0,5100000000000.0,104600000000000.0,10200000000000.0,8.868,1.0970000000000004,1.4459999999999997,15.649,7.8500000000000005,1.36
RXCJ1212.3-1816,0.2689999999999999,183.075,-18.3087,nan,0652010201,360.0,570.0,760.0,,,,,,,93000000000000.0,21000000000000.0,142000000000000.0,26000000000000.0,167000000000000.0,31000000000000.0,,,,,,,6900000000000.001,899999999999.9999,13800000000000.002,1000000000000.0,19600000000000.0,1200000000000.0,2.893,0.31999999999999984,0.38400000000000034,1.898,2.7889999999999997,0.803
ZwCl1231.4+1007,0.2289999999999999,188.592,9.78611,"539,11727",nan,210.0,760.0,1230.0,19000000000000.0,12000000000000.0,322000000000000.0,80000000000000.0,682000000000000.0,129000000000000.0,,,,,,,1799999999999.9998,1100000000000.0,37400000000000.0,6000000000000.0,82800000000000.0,7800000000000.0,,,,,,,,,,,,
Abell1682,0.226,196.712,46.5568,"3244d,11725",nan,470.0,840.0,1240.0,206000000000000.0,98000000000000.0,464000000000000.0,200000000000000.0,735000000000000.0,306000000000000.0,,,,,,,18000000000000.0,5700000000000.0,46000000000000.0,10300000000000.0,76400000000000.0,13700000000000.002,,,,,,,,,,,,
Abell1689,0.183,197.873,-1.34175,"5004,6930,7289",0093030101,710.0,1110.0,1510.0,622000000000000.0,52000000000000.0,951000000000000.0,93000000000000.0,1209000000000000.0,154000000000000.0,550000000000000.0,40000000000000.0,901000000000000.0,96000000000000.0,1198000000000000.0,194000000000000.0,56999999999999.99,2100000000000.0002,94400000000000.0,3599999999999.9995,128499999999999.98,5900000000000.0,57299999999999.99,200000000000.0,94600000000000.0,400000000000.0,125000000000000.0,700000000000.0,9.182,0.4540000000000006,0.6109999999999989,40.832,8.138,1.558
Abell1758N,0.28,203.182,50.5458,2213d,0142860201,390.0,880.0,1380.0,,,,,,,111000000000000.02,19000000000000.0,523000000000000.06,60000000000000.0,1021000000000000.0,154000000000000.0,,,,,,,15400000000000.0,2100000000000.0002,71600000000000.0,4100000000000.0,121800000000000.0,6200000000000.0,7.198,0.48300000000000054,0.5969999999999995,19.411,6.599,1.187
Abell1763,0.228,203.826,41.0002,3591,0084230901,500.0,890.0,1330.0,238000000000000.0,63000000000000.0,528000000000000.0,127000000000000.0,861000000000000.0,196000000000000.0,192000000000000.0,15000000000000.0,410000000000000.0,34000000000000.004,660000000000000.0,56000000000000.01,27400000000000.004,4600000000000.0,70500000000000.0,9300000000000.0,122900000000000.02,13500000000000.0,26500000000000.0,100000000000.0,68799999999999.99,300000000000.0,123300000000000.02,500000000000.0,6.725,0.6369999999999996,0.8400000000000007,23.116,5.614,1.605
Abell1835,0.253,210.258,2.87856,"6880,6881,7370","0098010101,0147330201,0551830101",680.0,1110.0,1570.0,581000000000000.0,53000000000000.0,1014000000000000.0,156000000000000.0,1452000000000000.0,290000000000000.0,478000000000000.0,18000000000000.0,924000000000000.0,60000000000000.0,1404000000000000.0,127000000000000.0,60600000000000.0,2500000000000.0,107600000000000.0,6500000000000.0,155400000000000.0,12000000000000.0,64300000000000.0,200000000000.0,113799999999999.98,300000000000.0,161500000000000.0,700000000000.0,8.498,0.2599999999999998,0.3020000000000014,75.874,5.389999999999999,1.449
Abell1914,0.171,216.504,37.8259,3593,0112230201,680.0,1030.0,1380.0,537000000000000.0,92000000000000.0,748000000000000.0,121000000000000.0,911000000000000.0,159000000000000.0,459000000000000.0,59000000000000.0,659000000000000.0,90000000000000.0,808000000000000.0,100000000000000.0,52100000000000.0,3800000000000.0,84400000000000.0,5400000000000.0,116300000000000.0,7300000000000.0,50300000000000.0,100000000000.0,82300000000000.0,300000000000.0,114100000000000.0,400000000000.0,8.105,0.48300000000000054,0.5599999999999987,35.031,7.027,1.341
ZwCl1454.8+2233,0.258,224.313,22.3423,4192,0108670201,460.0,750.0,1060.0,189000000000000.0,36000000000000.0,328000000000000.0,91000000000000.0,461000000000000.06,133000000000000.0,158000000000000.0,7000000000000.001,260000000000000.0,22000000000000.0,365000000000000.0,42000000000000.0,22200000000000.0,1700000000000.0002,39200000000000.0,4000000000000.0,57799999999999.99,6000000000000.0,22300000000000.0,0.0,40300000000000.0,100000000000.0,60800000000000.0,200000000000.0,4.907,0.2549999999999999,0.31899999999999995,25.795,4.287,1.017
