name,ra,dec,z,sample,alt_name,alt_samp
SDSSXCS-1137,322.4157,0.088037139,0.24724136,SDSSRM-XCS,RXJ2129.6+0005,LoCuSS
SDSSXCS-487,323.7992,-1.0494682,0.33391213,SDSSRM-XCS,,
SDSSXCS-155,323.82011,1.4333368,0.23449183,SDSSRM-XCS,,
SDSSXCS-2032,327.75454,-7.609313,0.28161383,SDSSRM-XCS,,
SDSSXCS-10223,327.85131,-5.4499955,0.14016679,SDSSRM-XCS,,
SDSSXCS-29,328.40419,17.696373,0.25057757,SDSSRM-XCS,Abell2390,LoCuSS
SDSSXCS-110,336.52107,17.372292,0.11359597,SDSSRM-XCS,,
SDSSXCS-913,339.91421,-5.7241442000000005,0.25858846,SDSSRM-XCS,,
SDSSXCS-62,340.47773,17.53801,0.32349214,SDSSRM-XCS,,
SDSSXCS-236,344.22031,5.5028535000000005,0.17545685,SDSSRM-XCS,,
SDSSXCS-765,344.53239,20.912112,0.31272802,SDSSRM-XCS,,
SDSSXCS-51,347.09113,-2.1909588,0.3080613,SDSSRM-XCS,Abell2537,LoCuSS
SDSSXCS-41,347.8862,3.6333151,0.3047284,SDSSRM-XCS,,
SDSSXCS-34,347.95361,3.6796591,0.30071348,SDSSRM-XCS,,
SDSSXCS-11154,349.60619,18.713054,0.16006234,SDSSRM-XCS,,
SDSSXCS-2092,350.35308,19.754217,0.3282012,SDSSRM-XCS,,
SDSSXCS-17923,350.47041,19.893604,0.31494313,SDSSRM-XCS,,
SDSSXCS-68,354.41088,0.27070502,0.30057013,SDSSRM-XCS,Abell2631,LoCuSS
SDSSXCS-147,355.31937,-9.0246778,0.25935042,SDSSRM-XCS,Abell2645,LoCuSS
SDSSXCS-314,355.92402,0.30868,0.26497057,SDSSRM-XCS,,
XLSSC-94,30.648,-6.732,0.886,XXL-100-GC,,
XLSSC-96,30.973,-5.027,0.52,XXL-100-GC,,
XLSSC-102,31.322,-4.652,0.969,XXL-100-GC,,
XLSSC-106,31.351,-5.732,0.3,XXL-100-GC,SDSSXCS-5743,SDSSRM-XCS
XLSSC-107,31.354,-7.594,0.436,XXL-100-GC,,
XLSSC-100,31.549,-6.193,0.915,XXL-100-GC,,
XLSSC-93,31.699,-6.948,0.429,XXL-100-GC,,
XLSSC-108,31.832,-4.827,0.254,XXL-100-GC,,
XLSSC-95,31.962,-5.206,0.138,XXL-100-GC,,
XLSSC-92,32.071,-7.276,0.432,XXL-100-GC,,
XLSSC-101,32.193,-4.436,0.756,XXL-100-GC,,
XLSSC-109,32.296,-6.346,0.491,XXL-100-GC,,
XLSSC-112,32.514,-5.462,0.139,XXL-100-GC,,
XLSSC-83,32.735,-6.2,0.43,XXL-100-GC,,
XLSSC-84,32.767,-6.211,0.43,XXL-100-GC,,
XLSSC-85,32.87,-6.196,0.428,XXL-100-GC,,
XLSSC-111,33.111,-5.627,0.299,XXL-100-GC,SDSSXCS-1131,SDSSRM-XCS
XLSSC-98,33.115,-6.076,0.297,XXL-100-GC,,
XLSSC-99,33.22,-6.202,0.391,XXL-100-GC,,
XLSSC-97,33.342,-6.098,0.76,XXL-100-GC,,
XLSSC-110,33.537,-5.585,0.445,XXL-100-GC,,
XLSSC-60,33.668,-4.553,0.139,XXL-100-GC,,
XLSSC-72,33.85,-3.726,1.002,XXL-100-GC,,
XLSSC-56,33.871,-4.682,0.348,XXL-100-GC,,
XLSSC-57,34.051,-4.242,0.153,XXL-100-GC,SDSSXCS-5830,SDSSRM-XCS
XLSSC-23,35.188,-3.433,0.328,XXL-100-GC,,
XLSSC-6,35.439,-3.772,0.429,XXL-100-GC,,
XLSSC-61,35.485,-5.758,0.259,XXL-100-GC,,
XLSSC-36,35.527,-3.054,0.492,XXL-100-GC,,
XLSSC-29,36.017,-4.225,1.05,XXL-100-GC,,
XLSSC-62,36.061,-2.721,0.059,XXL-100-GC,,
XLSSC-1,36.238,-3.817,0.614,XXL-100-GC,,
XLSSC-54,36.319,-5.887,0.054,XXL-100-GC,,
XLSSC-25,36.353,-4.68,0.265,XXL-100-GC,,
XLSSC-41,36.378,-4.239,0.142,XXL-100-GC,,
XLSSC-50,36.421,-3.189,0.14,XXL-100-GC,SDSSXCS-2984,SDSSRM-XCS
XLSSC-55,36.454,-5.896,0.232,XXL-100-GC,,
XLSSC-11,36.54,-4.969,0.054,XXL-100-GC,,
XLSSC-52,36.567,-2.666,0.056,XXL-100-GC,,
XLSSC-10,36.843,-3.362,0.33,XXL-100-GC,,
XLSSC-103,36.886,-5.961,0.233,XXL-100-GC,,
XLSSC-3,36.909,-3.3,0.836,XXL-100-GC,,
XLSSC-22,36.917,-4.858,0.293,XXL-100-GC,,
XLSSC-27,37.012,-4.851,0.295,XXL-100-GC,,
XLSSC-90,37.121,-4.857,0.141,XXL-100-GC,,
XLSSC-89,37.127,-4.733,0.609,XXL-100-GC,,
XLSSC-104,37.324,-5.895,0.294,XXL-100-GC,,
XLSSC-88,37.611,-4.581,0.295,XXL-100-GC,,
XLSSC-87,37.72,-4.348,0.141,XXL-100-GC,,
XLSSC-91,37.926,-4.881,0.186,XXL-100-GC,SDSSXCS-120,SDSSRM-XCS
XLSSC-105,38.411,-5.506,0.429,XXL-100-GC,,
XLSSC-502,348.442,-53.438,0.141,XXL-100-GC,,
XLSSC-530,348.833,-54.345,0.182,XXL-100-GC,,
XLSSC-501,348.873,-53.063,0.333,XXL-100-GC,,
XLSSC-513,349.221,-54.902,0.378,XXL-100-GC,,
XLSSC-525,349.339,-53.962,0.379,XXL-100-GC,,
XLSSC-527,349.57,-55.984,0.076,XXL-100-GC,,
XLSSC-528,349.682,-56.204,0.302,XXL-100-GC,,
XLSSC-529,349.699,-56.287,0.547,XXL-100-GC,,
XLSSC-526,349.802,-54.087,0.273,XXL-100-GC,,
XLSSC-544,349.816,-53.534,0.095,XXL-100-GC,,
XLSSC-518,349.822,-55.325,0.177,XXL-100-GC,,
XLSSC-531,349.876,-56.649,0.391,XXL-100-GC,,
XLSSC-534,350.105,-53.359,0.853,XXL-100-GC,,
XLSSC-517,350.449,-55.971,0.699,XXL-100-GC,,
XLSSC-523,350.503,-54.75,0.343,XXL-100-GC,,
XLSSC-503,350.646,-52.747,0.336,XXL-100-GC,,
XLSSC-545,350.692,-53.388,0.353,XXL-100-GC,,
XLSSC-514,351.396,-54.722,0.169,XXL-100-GC,,
XLSSC-515,351.416,-54.741,0.101,XXL-100-GC,,
XLSSC-547,351.427,-53.277,0.371,XXL-100-GC,,
XLSSC-535,351.554,-53.317,0.172,XXL-100-GC,,
XLSSC-536,351.557,-53.374,0.17,XXL-100-GC,,
XLSSC-522,351.638,-55.022,0.395,XXL-100-GC,,
XLSSC-533,351.712,-52.694,0.107,XXL-100-GC,,
XLSSC-504,351.93,-52.425,0.243,XXL-100-GC,,
XLSSC-521,352.179,-55.567,0.807,XXL-100-GC,,
XLSSC-505,352.25,-52.238,0.055,XXL-100-GC,,
XLSSC-506,352.315,-52.497,0.717,XXL-100-GC,,
XLSSC-546,352.416,-53.249,0.792,XXL-100-GC,,
XLSSC-512,352.484,-56.136,0.402,XXL-100-GC,,
XLSSC-520,352.502,-54.619,0.175,XXL-100-GC,,
XLSSC-532,352.948,-52.669,0.392,XXL-100-GC,,
XLSSC-519,353.019,-55.212,0.27,XXL-100-GC,,
XLSSC-524,353.067,-54.702,0.27,XXL-100-GC,,
XLSSC-542,353.113,-53.976,0.402,XXL-100-GC,,
XLSSC-507,353.374,-52.252,0.566,XXL-100-GC,,
XLSSC-549,353.515,-53.141,0.808,XXL-100-GC,,
XLSSC-516,353.881,-54.586,0.866,XXL-100-GC,,
XLSSC-537,354.029,-53.876,0.515,XXL-100-GC,,
XLSSC-548,354.193,-53.793,0.321,XXL-100-GC,,
XLSSC-538,354.646,-54.623,0.332,XXL-100-GC,,
XLSSC-543,354.863,-55.843,0.381,XXL-100-GC,,
XLSSC-541,355.431,-55.965,0.188,XXL-100-GC,,
