name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r2500,Tx,Tx-,Tx+,Lx52,Lx52-,Lx52+,Lx,Lx-,Lx+,richness,richness_err,XCS_NAME
SDSSXCS-15915,15915,139.09971000000002,29.268306,0.54103065,0.9102529669128098,4.48315,0.5278090143405763,0.6096447516594239,0.355930824,0.0156434342814804,0.0156141063675109,1.144292302,0.0923569705035605,0.08221177612286,58.75111999999999,11.858495,XMMXCS J091623.9+291605.9
SDSSXCS-3366,3366,139.10478999999998,29.927984,0.524377,0.6686555322021064,2.4678,0.8335590819622802,2.3978422630377194,0.06848448525,0.0129807050221736,0.0201686558174229,0.1724471532,0.0364409737245422,0.0454113929742469,34.999123,10.336063,XMMXCS J091625.1+295540.7
SDSSXCS-13,13,139.46774,51.725738,0.22690289,2.5170665791205042,7.39954,0.1456802395097653,0.1464864284902347,3.500377488,0.0179699381006193,0.0173349120120174,14.63192439,0.1778210158808963,0.1471412697467897,153.60655,4.73977,XMMXCS J091752.2+514332.6
SDSSXCS-24645,24645,139.65336000000002,51.84502,0.43589213,0.7253079285223439,2.11482,0.4624140245095214,0.7740868644904784,0.09745134042,0.0112639503381754,0.0172634336601917,0.2338338705,0.0375022061273618,0.043972081589469,34.038063,4.935374,XMMXCS J091836.8+515042.0
SDSSXCS-32027,32027,139.89623999999998,30.531813,0.42701074,1.0077703763381536,3.7751,0.1309238127520751,0.1329877592479249,0.8407217524,0.0120745743342434,0.0108581168624548,2.495182263,0.0498779908164266,0.0478523645769959,22.38326,4.3706717,XMMXCS J091935.0+303154.5
SDSSXCS-5225,5225,140.07752,37.10619000000001,0.23562108,1.3476219797736886,2.58337,0.0305437463216553,0.0307808946783447,1.02832151,0.0058027621576204,0.0061638554867387,2.629293051,0.0195612388940196,0.0197429080550524,37.25686,2.9538517,XMMXCS J092018.6+370622.2
SDSSXCS-23,23,140.21912,30.46765,0.2942456,1.325224314741758,3.44323,0.1238788087115478,0.1625701682884521,0.4400164243,0.0064064033521267,0.0060364338473736,1.255136378,0.0327581069057756,0.0293813701050633,38.690826,5.167868,XMMXCS J092052.5+302803.5
SDSSXCS-15771,15771,140.25923,30.09272,0.53514737,0.5516305707848369,1.88019,0.2649402818391724,0.4091686841608277,0.1770351613,0.0190579464002726,0.0293480283755593,0.4104747071,0.0489291536479989,0.0582234315977754,57.362915,12.227573,XMMXCS J092102.2+300533.7
SDSSXCS-1761,1761,140.29875,30.465657,0.42891285,1.1053609061081504,4.53857,0.3768959252155763,0.3708520207844241,0.6628319257,0.0163108528773577,0.0175193431960037,2.143448854,0.0907734788449183,0.1018292807344742,38.797615,5.5510306,XMMXCS J092111.7+302756.3
SDSSXCS-9265,9265,140.73641999999998,31.210390000000004,0.4027549,0.9596712087957355,3.68553,0.714770355280884,0.994442690719116,0.1857021517,0.0133613586888834,0.0140145259436553,0.5453458955,0.0714844216656865,0.0687657850547455,41.6808,4.2645063,XMMXCS J092256.7+311237.4
SDSSXCS-79481,79481,141.44092,30.982517,0.52279264,0.8994340611068263,4.27678,0.490085515479004,0.8364053495209962,0.6532394608,0.0284488218894182,0.031417015064642,2.054055915,0.1328685010872308,0.1247826938078162,36.997528,9.127322,XMMXCS J092545.8+305857.0
SDSSXCS-7026,7026,141.65399,12.718793,0.50775087,0.9673602585192926,5.05493,0.8222302751135251,1.0850735738864747,1.024735903,0.0716477767991315,0.065461302804989,3.495168099,0.3609952120111459,0.2973397706741507,78.14019,11.327877,XMMXCS J092636.9+124307.6
SDSSXCS-43857,43857,141.71119,31.024537,0.55599415,0.664386465919262,2.55716,0.5353367016652832,0.9629305623347166,0.1213445252,0.0124584335231769,0.0188680478286534,0.3091878486,0.042000528005166,0.0494959348396948,47.47769,12.175559,XMMXCS J092650.6+310128.3
SDSSXCS-617,617,143.03773,29.083735,0.29994437,1.5489435481129263,4.65615,0.6387739451967773,0.6932460968032226,0.1919835869,0.0085346971845615,0.0083955036579032,0.6285207165,0.0556806245535871,0.049233098471648,92.20528,5.938926,XMMXCS J093209.0+290501.4
SDSSXCS-56940,56940,145.23131999999995,3.3863929,0.49892342,1.007554214951338,4.74225,0.5843590116677246,0.6014203313322755,0.6835140726,0.030481765753983,0.0340271510831031,2.257814984,0.1742039994398401,0.1531520351875537,42.4283,11.093084,XMMXCS J094054.0+032227.5
SDSSXCS-40597,40597,145.31126,4.7813537,0.37475327,1.127635131023565,3.57686,0.9576450810192872,1.276242545980713,0.08019164562,0.0090226060412894,0.010557237481423,0.2324627052,0.0441325043274508,0.0420111325966494,22.764635,2.826727,XMMXCS J094114.7+044652.8
SDSSXCS-170,170,145.75008,46.993719,0.3594264,1.4380845503556685,5.41441,0.1345453982883304,0.2622727387116699,1.078896999,0.009925149066245,0.00949363594017,3.81477108,0.0586027581675012,0.0511798751051078,131.15123,5.726394,XMMXCS J094300.0+465937.3
