name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r500,r500-,r500+,Tx_500,Tx_500-,Tx_500+,Lx52_500,Lx52_500-,Lx52_500+,Lx_500,Lx_500-,Lx_500+,r2500,r2500-,r2500+,Tx_2500,Tx_2500-,Tx_2500+,Lx52_2500,Lx52_2500-,Lx52_2500+,Lx_2500,Lx_2500-,Lx_2500+,richness,richness_err,XCS_NAME
SDSSXCS-2346,2346,16.448217,-0.34013597,0.30077308,269.3375245160945,34.61059139357739,51.6665714354897,1.35597,0.1690885499999999,0.2640676820000001,0.03577339007,0.0059765993225081,0.0076116733295818,0.07515181276,0.013585421400724,0.0172367148532432,195.3177276040568,14.054543170662951,16.02481140965019,1.269,0.1493848074057617,0.1738628035942382,0.03024709383,0.0044904688848531,0.0045247764516311,0.06144258374,0.0113444475233195,0.0110126262664672,59.87999,4.107582,XMMXCS J010547.5-002024.4
SDSSXCS-586,586,16.541518,0.85239023,0.26237586,671.661383475295,42.98715303429505,46.523112492338726,2.20571,0.2616343249999999,0.285197385,0.3931102644,0.0159633316753731,0.0212064948198759,0.9555238299,0.0649286506938426,0.0709101452704039,294.7923932537348,17.913315831308054,23.1807167289852,2.54167,0.2639070049996337,0.3463733940003664,0.2211151045,0.0092596549251459,0.0105291954887563,0.562254927,0.035115014170772,0.0362344722514013,78.23172,4.147247,XMMXCS J010609.9+005108.6
SDSSXCS-11331,11331,16.7056,1.0568871000000002,0.25354633,723.330590663915,13.190139412921486,13.198139794806092,2.95836,0.032996819,0.033162426,4.10210384,0.0202529166801879,0.0202802427085773,11.01322652,0.0710978175898997,0.0803289102173536,323.7142641773374,4.614899180065954,4.622658286612975,2.96274,0.0290224734580077,0.0293450795419922,3.631483322,0.0170775306830144,0.0161086245864643,9.755187142,0.0595629028160917,0.0516716442225657,31.444715,3.0234592,XMMXCS J010649.3+010324.7
SDSSXCS-28849,28849,17.953107,-0.017865822,0.2743446,605.019750398047,30.94751334818326,55.748892628449646,2.17255,0.1796610570000001,0.3461631109999996,0.2590928049,0.0122076096202109,0.0198252434574972,0.6269332237,0.0537627984396196,0.0644899401781347,257.72671293709783,15.772207994681828,16.100208247732787,2.00126,0.2067956191905517,0.2115885298094482,0.1355433123,0.0075324485471229,0.0091039921899165,0.3198661394,0.0223702707925453,0.0239250591181711,22.96295,2.614236,XMMXCS J011148.7-000104.3
SDSSXCS-31144,31144,18.604062,0.49461554,0.34936443,543.093308472926,36.69204914006734,35.041742824335266,1.82411,0.2127476469999998,0.2018641980000002,0.2250152863,0.0110030654595367,0.0163645967744874,0.5174893926,0.0380324944781848,0.0449813338232168,297.74534674934864,19.486283080232024,23.54798010275529,2.58521,0.3062971109151613,0.3732037870848388,0.1366512574,0.0074147766997991,0.0072178657683379,0.3494800905,0.0266437658827548,0.027136238227748,28.66831,3.2433918,XMMXCS J011424.9+002940.6
SDSSXCS-239,239,28.175568,1.0081747,0.2275947,1083.3585151940383,21.908057204845186,21.930448558027,5.86576,0.1516438930000001,0.151937792,3.290979436,0.0232198116149278,0.0223476590300299,12.12038949,0.1784605421682243,0.1877544729182236,484.2651580082984,7.0838248669502,7.1188238652664735,5.93552,0.1217478631191406,0.1226918838808597,2.579087161,0.0147427435530831,0.0157585879557231,9.557466437,0.1066222985283094,0.1069466876723108,93.85281,4.089814,XMMXCS J015242.1+010029.4
SDSSXCS-395,395,28.392295,-1.3044994,0.23913085,1008.2206257825856,20.534536797361103,20.56665538903739,5.21783,0.1398666240000006,0.1402588260000001,1.791762178,0.015486252131426,0.015147488980417,6.212516976,0.0967260639029472,0.0944360731268298,466.9826611767832,9.011421863937498,9.085269633802636,5.61366,0.1715456757036131,0.1732821612963864,1.108785108,0.0089038141591994,0.0085622612894231,3.992524543,0.0664069686432773,0.0669882791312357,93.730774,5.118641,XMMXCS J015334.1-011816.1
SDSSXCS-944,944,29.282447,-5.876032299999999,0.13098373,911.8868632037512,25.259721756706032,25.31204785529426,3.73939,0.1618113610000002,0.1622667019999997,0.474400688,0.0056817234234193,0.0054506961139871,1.402068325,0.0359971511182537,0.0366717010477006,388.7769904172645,10.002174633800449,10.101151241076412,3.65836,0.1527620614250486,0.1545533635749509,0.2073898215,0.0023522476033339,0.0026653048947788,0.6070704274,0.0130999774537773,0.0145698878276994,50.620216,3.387581,XMMXCS J015707.7-055233.7
SDSSXCS-593,593,29.603929,-1.7817758999999995,0.15635921,754.2455098637139,18.06836958898718,18.102318770321244,2.88854,0.0844467639999999,0.0847793820000002,0.6300017369,0.0058724709133447,0.0058493212830998,1.676324203,0.0300353566701054,0.0264701697692999,350.8235606006368,6.2174842934721095,6.260476524214223,3.1168,0.0700569438089599,0.07099786719104,0.4017048421,0.0038376481985593,0.0035891244871197,1.100424494,0.014978791369328,0.0139668344753247,53.96106,2.8864915,XMMXCS J015824.9-014654.3
SDSSXCS-35404,35404,30.191204,-6.708112599999999,0.3417674,563.0008291520414,38.45944109969293,41.67216486616143,2.14121,0.2397717080000001,0.2620240579999997,0.3333669113,0.0204825456998245,0.0222064987638433,0.8030142465,0.0658790177588558,0.077920512814248,257.26460914590257,13.8933545579847,16.55710730255127,2.15643,0.1938721140272217,0.2355450979727784,0.1641762251,0.0083934795342475,0.0109498735887371,0.3963539262,0.0275369731744311,0.0289504527443857,25.81563,3.1895626,XMMXCS J020045.8-064229.2
