name,planck_ra,planck_dec,xmm_ra,xmm_dec,z,r500,m500,m500+,m500-,mg500,mg500+,mg500-,Tx,Tx+,Tx-,Txce,Txce+,Txce-,Lx124,Lx124+,Lx124-,Lx124ce,Lx124ce+,Lx124ce-,Lxbol,Lxbol+,Lxbol-,Lxbolce,Lxbolce+,Lxbolce-,NT,fT,Nsb,fsb
G313.36+61.11,197.877,-1.348,197.87221,-1.3415139,0.183,1348,7.87,0.1,0.09,10.53,0.07,0.06,8.6,0.08,0.08,8.26,0.11,0.11,12.82,0.13,0.13,5.47,0.14,0.14,37.61,0.68,0.68,16.14,0.13,0.13,9,0.98,80,1.01
G313.87-17.10,240.379,-75.762,240.45178,-75.75513,0.153,1362,8.24,0.25,0.23,10.78,0.13,0.13,8.43,0.15,0.15,8.15,0.24,0.24,11.1,0.33,0.33,5.57,0.15,0.15,31.84,1.6,1.6,15.91,0.77,0.77,11,0.91,61,0.91
G318.13-29.57,296.802,-76.41,296.80954,-76.39548,0.217,1253,5.59,0.64,0.57,7.43,0.4,0.38,5.96,0.66,0.66,5.17,0.93,0.93,7.39,0.56,0.56,4.4,0.29,0.29,22.1,3.07,3.07,13.15,1.67,1.67,2,0.83,4,1.11
G321.96-47.97,342.492,-64.418,342.48984,-64.42929,0.094,1082,3.95,0.29,0.23,4.83,0.17,0.14,4.6,0.11,0.11,4.43,0.14,0.14,3.1,0.09,0.09,2.33,0.05,0.05,6.51,0.23,0.23,4.91,0.15,0.15,19,0.84,52,1.12
G324.49-44.97,334.535,-65.206,334.5014,-65.18111,0.095,974,3.09,0.4,0.19,3.47,0.2,0.1,4.08,0.12,0.12,4.16,0.18,0.18,1.85,0.08,0.08,1.26,0.04,0.04,3.46,0.2,0.2,2.36,0.11,0.11,10,0.99,37,1.08
G332.23-46.36,330.457,-59.947,330.4726,-59.944973,0.098,1236,5.09,0.15,0.1,7.06,0.08,0.06,6.13,0.09,0.09,5.95,0.12,0.12,4.71,0.11,0.11,3.09,0.06,0.06,11.37,0.34,0.34,7.48,0.2,0.2,17,1.04,102,1.08
G332.88-19.28,273.339,-61.451,273.31595,-61.44867,0.147,1209,6.22,0.38,0.33,7.74,0.21,0.19,6.02,0.77,0.77,5.48,1.09,1.09,4.55,0.19,0.19,3.09,0.11,0.11,11.06,0.82,0.82,7.51,0.5,0.5,6,0.47,13,0.58
G335.59-46.46,328.547,-57.851,273.31595,-61.44867,0.076,1244,3.53,0.74,0.56,4.61,0.54,0.44,4.17,1.2,1.2,3.95,1.36,1.36,4.19,0.32,0.32,3.53,0.25,0.25,10.13,0.94,0.94,8.55,0.75,0.75,22,0.92,23,0.92
G336.59-55.44,341.597,-52.72,341.5832,-52.738064,0.097,1086,3.78,0.71,0.52,4.88,0.46,0.36,4.69,0.24,0.24,4.48,0.26,0.26,2.53,0.1,0.1,2.04,0.05,0.05,5.36,0.26,0.26,4.32,0.15,0.15,20,1.05,23,1.19
G337.09-25.97,288.583,-59.513,288.65463,-59.47104,0.26,922,5.75,0.5,0.41,8.94,0.34,0.3,5.67,0.22,0.22,5.86,0.36,0.36,6.57,0.25,0.25,3.61,0.06,0.06,14.33,0.8,0.8,7.87,0.28,0.28,5,0.56,21,1.16
G342.31-34.90,305.801,-55.593,305.83865,-55.58937,0.232,1572,6.85,0.74,0.62,9.49,0.45,0.4,6.48,1.07,1.07,6.35,1.33,1.33,4.64,0.44,0.44,3.64,0.35,0.35,13.17,2.16,2.16,10.34,1.71,1.71,2,0.59,13,0.92
G347.18-27.35,293.715,-50.867,293.70966,-50.870346,0.237,1246,8.24,0.63,0.73,11.07,0.43,0.5,8.31,0.4,0.4,8.16,0.51,0.51,5.63,0.31,0.31,4.56,0.19,0.19,15.15,1.21,1.21,12.25,0.81,0.81,8,0.96,24,1.21
G349.46-59.94,342.206,-44.532,342.1839,-44.530174,0.347,1446,13.59,0.68,0.65,22.38,0.44,0.42,10.3,0.22,0.22,10.6,0.31,0.31,27.09,0.38,0.38,13.37,0.03,0.03,86.74,2.35,2.35,42.79,0.39,0.39,7,1.0,47,1.14
